epoch,is_street__dice_coef,is_street_loss,is_street_pr_auc,is_street_precision,is_street_recall,val_is_street__dice_coef,val_is_street_loss,val_is_street_pr_auc,val_is_street_precision,val_is_street_recall
0,0.0102,5.3204,0.0146,0.0148,0.1084,4.4516e-10,1.7459,0.0086,0.0,0.0
1,0.0035,1.2151,0.0161,0.0202,0.0345,2.7279e-10,1.1116,0.0108,0.0,0.0
2,0.00089565,1.4939,0.0149,0.015,0.0132,3.2474e-10,1.0187,0.011,0.0,0.0
3,0.0088,0.9465,0.0149,0.0117,0.0211,1.6928e-10,1.176,0.013,0.0,0.0
4,0.0106,0.6304,0.0153,0.0206,0.00025837,0.0065,0.5631,0.0122,0.0,0.0
5,0.0249,0.5269,0.0152,0.0053,2.9097e-06,0.0141,0.5078,0.008,0.0,0.0
6,0.0064,0.9215,0.0154,0.0122,0.0139,1.709e-10,1.5656,0.0121,0.0,0.0
7,0.0106,0.6618,0.0142,0.0164,0.0079,0.0253,0.5147,0.0145,0.0,0.0
8,0.0036,1.0157,0.0172,0.0163,0.0221,2.1642e-10,0.9119,0.0102,0.0,0.0
9,0.0016,1.4206,0.0177,0.0163,0.0185,2.373e-06,0.7253,0.013,0.0,0.0
10,0.0146,0.6477,0.0154,0.0233,0.0106,0.0156,0.5104,0.0081,0.0,0.0
11,0.021,0.5581,0.0167,0.0141,0.0061,1.8645e-10,0.9404,0.0134,0.0,0.0
12,0.0057,0.8802,0.0176,0.0211,0.0337,0.0072,0.5427,0.0074,0.0,0.0
13,0.0166,0.6966,0.0161,0.0198,0.0091,1.272e-07,0.7555,0.0125,0.0,0.0
14,0.0026,0.9572,0.0157,0.0181,0.0313,0.0215,0.5291,0.0166,0.0,0.0
15,0.0112,0.6928,0.0168,0.023,0.0194,0.0184,0.5115,0.0102,0.0,0.0
16,0.0278,0.5191,0.0169,0.78,5.5448e-05,0.0205,0.5127,0.0159,0.0,0.0
17,0.0274,0.5248,0.018,0.7552,7.4764e-05,0.019,0.5132,0.0131,0.0,0.0
18,0.0193,0.5534,0.016,0.0206,0.0093,0.0187,0.545,0.0131,0.0,0.0
19,0.0235,0.5301,0.0158,0.887,7.748e-05,0.0128,0.5458,0.0112,0.0,0.0
20,0.0163,0.6046,0.0173,0.0219,0.0151,3.7884e-05,0.6783,0.014,0.0,0.0
21,0.0143,0.6024,0.0152,0.0115,0.0059,0.00020266,0.637,0.0129,0.0,0.0
22,0.0033,0.954,0.0159,0.012,0.0206,9.9632e-10,0.8228,0.0114,0.0,0.0
23,0.013,0.6543,0.0154,0.0158,0.014,0.0187,0.5112,0.0139,0.4855,0.0017
24,0.0257,0.5238,0.0168,0.4906,0.00025217,0.0121,0.546,0.0114,0.0,0.0
25,0.0111,1.0588,0.0163,0.0319,0.0279,1.9125e-10,1.0296,0.012,0.0,0.0
26,0.0038,0.8089,0.0171,0.0199,0.0406,0.0083,0.5813,0.0167,0.0,0.0
27,0.0164,0.598,0.0157,0.0123,0.0085,0.0258,0.5325,0.0207,0.0,0.0
28,0.0268,0.5131,0.0184,0.0,0.0,0.0177,0.5117,0.0173,0.0,0.0
29,0.0242,0.536,0.0161,0.0201,0.0076,0.0187,0.5131,0.0126,0.0,0.0
30,0.0188,0.6211,0.016,0.0106,0.0045,2.4839e-05,0.6862,0.0138,0.0,0.0
31,0.0124,0.6641,0.0163,0.0176,0.0076,0.027,0.5127,0.0206,0.0,0.0
32,0.026,0.5173,0.0157,0.9211,2.6804e-05,0.013,0.5335,0.0106,0.0,0.0
33,0.0268,0.5233,0.0166,0.475,0.00013466,0.0217,0.512,0.0149,0.0,0.0
